instance,cell_type,x_um,y_um
INTERNAL_3_0,INTERNAL_3,2.02,-51.36
INTERNAL_3_1,INTERNAL_3,15.82,-51.36
INTERNAL_3_2,INTERNAL_3,21.340000000000003,-51.36
INTERNAL_3_3,INTERNAL_3,26.86,-51.36
INTERNAL_3_4,INTERNAL_3,35.14,-51.36
INTERNAL_3_5,INTERNAL_3,46.18000000000001,-51.36
INTERNAL_3_6,INTERNAL_3,57.22,-51.36
INTERNAL_3_7,INTERNAL_3,65.5,-51.36
INTERNAL_3_8,INTERNAL_3,71.02,-51.36
INTERNAL_3_9,INTERNAL_3,82.06,-51.36
INTERNAL_3_10,INTERNAL_3,87.58,-51.36
INTERNAL_3_11,INTERNAL_3,117.94,-51.36
INTERNAL_3_12,INTERNAL_3,134.5,-51.36
INTERNAL_3_13,INTERNAL_3,137.26,-51.36
INTERNAL_3_14,INTERNAL_3,148.3,-51.36
INTERNAL_3_15,INTERNAL_3,159.34,-51.36
INTERNAL_3_16,INTERNAL_3,162.1,-51.36
INTERNAL_3_17,INTERNAL_3,164.86,-51.36
INTERNAL_3_18,INTERNAL_3,178.66,-51.36
INTERNAL_3_19,INTERNAL_3,186.94,-51.36
INTERNAL_3_20,INTERNAL_3,192.46,-51.36
INTERNAL_7_0,INTERNAL_7,6.16,-51.36
INTERNAL_7_1,INTERNAL_7,11.68,-51.36
INTERNAL_7_2,INTERNAL_7,31.0,-51.36
INTERNAL_7_3,INTERNAL_7,50.32,-51.36
INTERNAL_7_4,INTERNAL_7,61.36,-51.36
INTERNAL_7_5,INTERNAL_7,77.92000000000002,-51.36
INTERNAL_7_6,INTERNAL_7,91.72,-51.36
INTERNAL_7_7,INTERNAL_7,100.0,-51.36
INTERNAL_7_8,INTERNAL_7,105.52000000000001,-51.36
INTERNAL_7_9,INTERNAL_7,122.08000000000001,-51.36
INTERNAL_7_10,INTERNAL_7,130.35999999999999,-51.36
INTERNAL_7_11,INTERNAL_7,152.44,-51.36
INTERNAL_7_12,INTERNAL_7,171.76,-51.36
INTERNAL_7_13,INTERNAL_7,182.79999999999998,-51.36
INTERNAL_7_14,INTERNAL_7,196.6,-51.36
VIA_L1M1_PR_MR_0,VIA_L1M1_PR_MR,167.21,11.39
VIA_L1M1_PR_MR_1,VIA_L1M1_PR_MR,176.41,11.39
VIA_L1M1_PR_MR_2,VIA_L1M1_PR_MR,158.01,11.73
VIA_L1M1_PR_MR_3,VIA_L1M1_PR_MR,159.85,11.73
VIA_L1M1_PR_MR_4,VIA_L1M1_PR_MR,175.03,11.73
VIA_L1M1_PR_MR_5,VIA_L1M1_PR_MR,183.77,11.73
VIA_L1M1_PR_MR_6,VIA_L1M1_PR_MR,184.69,11.73
VIA_L1M1_PR_MR_7,VIA_L1M1_PR_MR,158.93,12.07
VIA_L1M1_PR_MR_8,VIA_L1M1_PR_MR,161.23,12.07
VIA_L1M1_PR_MR_9,VIA_L1M1_PR_MR,162.15,12.07
VIA_L1M1_PR_MR_10,VIA_L1M1_PR_MR,163.53,12.07
VIA_L1M1_PR_MR_11,VIA_L1M1_PR_MR,164.45000000000002,12.07
VIA_L1M1_PR_MR_12,VIA_L1M1_PR_MR,166.29,12.07
VIA_L1M1_PR_MR_13,VIA_L1M1_PR_MR,169.51,12.07
VIA_L1M1_PR_MR_14,VIA_L1M1_PR_MR,169.97,12.07
VIA_L1M1_PR_MR_15,VIA_L1M1_PR_MR,170.43,12.07
VIA_L1M1_PR_MR_16,VIA_L1M1_PR_MR,170.89000000000001,12.07
VIA_L1M1_PR_MR_17,VIA_L1M1_PR_MR,171.81,12.07
VIA_L1M1_PR_MR_18,VIA_L1M1_PR_MR,172.27,12.07
