mode,cyc,xnor_B,xnor_Y,Q,and4_X
all0,0,1,0,0,0
all0,1,1,0,0,0
all0,2,1,0,0,0
all0,3,1,0,0,0
all0,4,1,0,0,0
all0,5,1,0,0,0
all0,6,1,0,0,0
all0,7,1,0,0,0
all0,8,1,0,0,0
all0,9,1,0,0,0
all0,10,1,0,0,0
all0,11,1,0,0,0
all0,12,1,0,0,0
all0,13,1,0,0,0
all0,14,1,0,0,0
all0,15,1,0,0,0
all0,16,1,0,0,0
all0,17,1,0,0,0
all0,18,1,0,0,0
all0,19,1,0,0,0
all0,20,1,0,0,0
all0,21,1,0,0,0
all0,22,1,0,0,0
all0,23,1,0,0,0
all0,24,1,0,0,0
all0,25,1,0,0,0
all0,26,1,0,0,0
all0,27,1,0,0,0
all0,28,1,0,0,0
all0,29,1,0,0,0
all0,30,1,0,0,0
all0,31,1,0,0,0
all0,32,1,0,0,0
all0,33,1,0,0,0
all0,34,1,0,0,0
all0,35,1,0,0,0
all0,36,1,0,0,0
all0,37,1,0,0,0
all0,38,1,0,0,0
all0,39,1,0,0,0
all0,40,1,0,0,0
all0,41,1,0,0,0
all0,42,1,0,0,0
all0,43,1,0,0,0
all0,44,1,0,0,0
all0,45,1,0,0,0
all0,46,1,0,0,0
all0,47,1,0,0,0
all0,48,1,0,0,0
all0,49,1,0,0,0
all0,50,1,0,0,0
all0,51,1,0,0,0
all0,52,1,0,0,0
all0,53,1,0,0,0
all0,54,1,0,0,0
all0,55,1,0,0,0
all0,56,1,0,0,0
all0,57,1,0,0,0
all0,58,1,0,0,0
all0,59,1,0,0,0
all0,60,1,0,0,0
all0,61,1,0,0,0
all0,62,1,0,0,0
all0,63,1,0,0,0
all0,64,1,0,0,0
all0,65,1,0,0,0
all0,66,1,0,0,0
all0,67,1,0,0,0
all0,68,1,0,0,0
all0,69,1,0,0,0
all0,70,1,0,0,0
all0,71,1,0,0,0
all0,72,1,0,0,0
all0,73,1,0,0,0
all0,74,1,0,0,0
all0,75,1,0,0,0
all0,76,1,0,0,0
all0,77,1,0,0,0
all0,78,1,0,0,0
all0,79,1,0,0,0
all0,80,1,0,0,0
all0,81,1,0,0,0
all0,82,1,0,0,0
all0,83,1,0,0,0
all0,84,1,0,0,0
all0,85,1,0,0,0
all0,86,1,0,0,0
all0,87,1,0,0,0
all0,88,1,0,0,0
all0,89,1,0,0,0
all0,90,1,0,0,0
all0,91,1,0,0,0
all0,92,1,0,0,0
all0,93,1,0,0,0
all0,94,1,0,0,0
all0,95,1,0,0,0
all0,96,1,0,0,0
all0,97,1,0,0,0
all0,98,1,0,0,0
all0,99,1,0,0,0
all0,100,1,0,0,0
all0,101,1,0,0,0
all0,102,1,0,0,0
all0,103,1,0,0,0
all0,104,1,0,0,0
all0,105,1,0,0,0
all0,106,1,0,0,0
all0,107,1,0,0,0
all0,108,1,0,0,0
all0,109,1,0,0,0
all0,110,1,0,0,0
all0,111,1,0,0,0
all0,112,1,0,0,0
all0,113,1,0,0,0
all0,114,1,0,0,0
all0,115,1,0,0,0
all0,116,1,0,0,0
all0,117,1,0,0,0
all0,118,1,0,0,0
all0,119,1,0,0,0
all0,120,1,0,0,0
all1,0,1,0,0,0
all1,1,1,0,0,0
all1,2,1,0,0,0
all1,3,1,0,0,0
all1,4,1,0,0,0
all1,5,1,0,0,0
all1,6,1,0,0,0
all1,7,1,0,0,0
all1,8,1,0,0,0
all1,9,1,0,0,0
all1,10,1,0,0,0
all1,11,1,0,0,0
all1,12,1,0,0,0
all1,13,1,0,0,0
all1,14,1,0,0,0
all1,15,0,1,0,0
all1,16,1,1,1,0
all1,17,1,1,1,0
all1,18,1,1,1,0
all1,19,1,1,1,0
all1,20,1,1,1,0
all1,21,1,1,1,0
all1,22,1,1,1,1
all1,23,1,1,1,0
all1,24,1,1,1,0
all1,25,1,1,1,0
all1,26,1,1,1,0
all1,27,1,1,1,0
all1,28,1,1,1,0
all1,29,1,1,1,0
all1,30,1,1,1,0
all1,31,0,0,1,0
all1,32,1,0,0,0
all1,33,1,0,0,0
all1,34,1,0,0,0
all1,35,1,0,0,0
all1,36,1,0,0,0
all1,37,1,0,0,0
all1,38,1,0,0,0
