mode,suite,pair,has_I120,pass,Q_n,and4_X_n,and4_X_first,and4_X_last
"ex_0,1",exhaustive,"0,1",0,1,68,13,112,124
"ex_0,2",exhaustive,"0,2",0,1,67,12,113,124
"ex_0,3",exhaustive,"0,3",0,1,66,11,114,124
"ex_0,4",exhaustive,"0,4",0,1,65,10,115,124
"ex_0,5",exhaustive,"0,5",0,1,64,9,116,124
"ex_0,6",exhaustive,"0,6",0,1,63,8,117,124
"ex_0,7",exhaustive,"0,7",0,1,62,7,118,124
"ex_0,8",exhaustive,"0,8",0,1,61,6,119,124
"ex_0,9",exhaustive,"0,9",0,1,60,5,120,124
"ex_0,10",exhaustive,"0,10",1,1,59,4,121,124
"ex_1,2",exhaustive,"1,2",0,1,67,12,113,124
"ex_1,3",exhaustive,"1,3",0,1,66,11,114,124
"ex_1,4",exhaustive,"1,4",0,1,65,10,115,124
"ex_1,5",exhaustive,"1,5",0,1,64,9,116,124
"ex_1,6",exhaustive,"1,6",0,1,63,8,117,124
"ex_1,7",exhaustive,"1,7",0,1,62,7,118,124
"ex_1,8",exhaustive,"1,8",0,1,61,6,119,124
"ex_1,9",exhaustive,"1,9",0,1,60,5,120,124
"ex_1,10",exhaustive,"1,10",1,1,59,4,121,124
"ex_2,3",exhaustive,"2,3",0,1,66,11,114,124
"ex_2,4",exhaustive,"2,4",0,1,65,10,115,124
"ex_2,5",exhaustive,"2,5",0,1,64,9,116,124
"ex_2,6",exhaustive,"2,6",0,1,63,8,117,124
"ex_2,7",exhaustive,"2,7",0,1,62,7,118,124
"ex_2,8",exhaustive,"2,8",0,1,61,6,119,124
"ex_2,9",exhaustive,"2,9",0,1,60,5,120,124
"ex_2,10",exhaustive,"2,10",1,1,59,4,121,124
"ex_3,4",exhaustive,"3,4",0,1,65,10,115,124
"ex_3,5",exhaustive,"3,5",0,1,64,9,116,124
"ex_3,6",exhaustive,"3,6",0,1,63,8,117,124
"ex_3,7",exhaustive,"3,7",0,1,62,7,118,124
"ex_3,8",exhaustive,"3,8",0,1,61,6,119,124
"ex_3,9",exhaustive,"3,9",0,1,60,5,120,124
"ex_3,10",exhaustive,"3,10",1,1,59,4,121,124
"ex_4,5",exhaustive,"4,5",0,1,64,9,116,124
"ex_4,6",exhaustive,"4,6",0,1,63,8,117,124
"ex_4,7",exhaustive,"4,7",0,1,62,7,118,124
"ex_4,8",exhaustive,"4,8",0,1,61,6,119,124
"ex_4,9",exhaustive,"4,9",0,1,60,5,120,124
"ex_4,10",exhaustive,"4,10",1,1,59,4,121,124
"ex_5,6",exhaustive,"5,6",0,1,63,8,117,124
"ex_5,7",exhaustive,"5,7",0,1,62,7,118,124
"ex_5,8",exhaustive,"5,8",0,1,61,6,119,124
"ex_5,9",exhaustive,"5,9",0,1,60,5,120,124
"ex_5,10",exhaustive,"5,10",1,1,59,4,121,124
"ex_6,7",exhaustive,"6,7",0,1,62,7,118,124
"ex_6,8",exhaustive,"6,8",0,1,61,6,119,124
"ex_6,9",exhaustive,"6,9",0,1,60,5,120,124
"ex_6,10",exhaustive,"6,10",1,1,59,4,121,124
"ex_7,8",exhaustive,"7,8",0,1,61,6,119,124
"ex_7,9",exhaustive,"7,9",0,1,60,5,120,124
"ex_7,10",exhaustive,"7,10",1,1,59,4,121,124
"ex_8,9",exhaustive,"8,9",0,1,60,5,120,124
"ex_8,10",exhaustive,"8,10",1,1,59,4,121,124
"ex_9,10",exhaustive,"9,10",1,1,59,4,121,124
pw_r01,perwindow,,0,1,59,9,116,124
pw_r02,perwindow,,0,1,63,9,116,124
pw_r03,perwindow,,0,1,66,6,119,124
pw_r04,perwindow,,0,1,66,7,118,124
pw_r05,perwindow,,0,1,61,7,118,124
pw_r06,perwindow,,0,1,68,10,115,124
pw_r07,perwindow,,0,1,55,6,119,124
pw_r08,perwindow,,0,1,72,9,116,124
pw_r09,perwindow,,0,1,69,10,115,124
pw_r10,perwindow,,0,1,76,12,113,124
pw_r11,perwindow,,0,1,72,7,118,124
pw_r12,perwindow,,0,1,56,6,119,124
pw_r13,perwindow,,0,1,63,11,114,124
pw_r14,perwindow,,0,1,73,8,117,124
pw_r15,perwindow,,0,1,59,9,116,124
pw_r16,perwindow,,0,1,67,7,118,124
pw_r17,perwindow,,0,1,54,6,119,124
pw_r18,perwindow,,0,1,60,6,119,124
pw_r19,perwindow,,0,1,70,10,115,124
pw_r20,perwindow,,1,1,49,4,121,124
pw_r21,perwindow,,0,1,62,6,119,124
pw_r22,perwindow,,0,1,55,6,119,124
pw_r23,perwindow,,0,1,60,6,119,124
pw_r24,perwindow,,1,1,53,4,121,124
pw_r25,perwindow,,1,1,51,4,121,124
pw_r26,perwindow,,0,1,66,5,120,124
pw_r27,perwindow,,0,1,64,9,116,124
pw_r28,perwindow,,0,1,64,13,112,124
pw_r29,perwindow,,0,1,54,5,120,124
pw_r30,perwindow,,0,1,72,8,117,124
pw_r31,perwindow,,0,1,72,7,118,124
pw_r32,perwindow,,0,1,55,5,120,124
pw_r33,perwindow,,0,1,63,6,119,124
pw_r34,perwindow,,0,1,59,12,113,124
pw_r35,perwindow,,0,1,53,9,116,124
pw_r36,perwindow,,0,1,63,6,119,124
pw_r37,perwindow,,0,1,57,6,119,124
pw_r38,perwindow,,0,1,64,7,118,124
pw_r39,perwindow,,1,1,57,4,121,124
pw_r40,perwindow,,0,1,59,5,120,124
pw_r41,perwindow,,0,1,63,7,118,124
pw_r42,perwindow,,0,1,67,8,117,124
pw_r43,perwindow,,0,1,71,8,117,124
pw_r44,perwindow,,0,1,64,6,119,124
pw_r45,perwindow,,0,1,65,8,117,124
pw_r46,perwindow,,0,1,45,5,120,124
pw_r47,perwindow,,0,1,69,5,120,124
pw_r48,perwindow,,0,1,68,11,114,124
e0ends_sf1_sl1,entry0_ends,"1,1",0,1,70,13,112,124
e0ends_sf1_sl2,entry0_ends,"1,2",0,1,69,12,113,124
e0ends_sf1_sl3,entry0_ends,"1,3",0,1,68,11,114,124
e0ends_sf1_sl4,entry0_ends,"1,4",0,1,67,10,115,124
e0ends_sf1_sl5,entry0_ends,"1,5",0,1,66,9,116,124
e0ends_sf1_sl6,entry0_ends,"1,6",0,1,65,8,117,124
e0ends_sf1_sl7,entry0_ends,"1,7",0,1,64,7,118,124
e0ends_sf1_sl8,entry0_ends,"1,8",0,1,63,6,119,124
e0ends_sf1_sl9,entry0_ends,"1,9",0,1,62,5,120,124
e0ends_sf1_sl10,entry0_ends,"1,10",1,1,61,4,121,124
e0ends_sf2_sl1,entry0_ends,"2,1",0,1,69,13,112,124
e0ends_sf2_sl2,entry0_ends,"2,2",0,1,68,12,113,124
e0ends_sf2_sl3,entry0_ends,"2,3",0,1,67,11,114,124
e0ends_sf2_sl4,entry0_ends,"2,4",0,1,66,10,115,124
e0ends_sf2_sl5,entry0_ends,"2,5",0,1,65,9,116,124
e0ends_sf2_sl6,entry0_ends,"2,6",0,1,64,8,117,124
e0ends_sf2_sl7,entry0_ends,"2,7",0,1,63,7,118,124
e0ends_sf2_sl8,entry0_ends,"2,8",0,1,62,6,119,124
e0ends_sf2_sl9,entry0_ends,"2,9",0,1,61,5,120,124
e0ends_sf2_sl10,entry0_ends,"2,10",1,1,60,4,121,124
e0ends_sf3_sl1,entry0_ends,"3,1",0,1,68,13,112,124
e0ends_sf3_sl2,entry0_ends,"3,2",0,1,67,12,113,124
e0ends_sf3_sl3,entry0_ends,"3,3",0,1,66,11,114,124
e0ends_sf3_sl4,entry0_ends,"3,4",0,1,65,10,115,124
e0ends_sf3_sl5,entry0_ends,"3,5",0,1,64,9,116,124
e0ends_sf3_sl6,entry0_ends,"3,6",0,1,63,8,117,124
e0ends_sf3_sl7,entry0_ends,"3,7",0,1,62,7,118,124
e0ends_sf3_sl8,entry0_ends,"3,8",0,1,61,6,119,124
e0ends_sf3_sl9,entry0_ends,"3,9",0,1,60,5,120,124
e0ends_sf3_sl10,entry0_ends,"3,10",1,1,59,4,121,124
e0ends_sf4_sl1,entry0_ends,"4,1",0,1,67,13,112,124
e0ends_sf4_sl2,entry0_ends,"4,2",0,1,66,12,113,124
e0ends_sf4_sl3,entry0_ends,"4,3",0,1,65,11,114,124
e0ends_sf4_sl4,entry0_ends,"4,4",0,1,64,10,115,124
e0ends_sf4_sl5,entry0_ends,"4,5",0,1,63,9,116,124
e0ends_sf4_sl6,entry0_ends,"4,6",0,1,62,8,117,124
e0ends_sf4_sl7,entry0_ends,"4,7",0,1,61,7,118,124
e0ends_sf4_sl8,entry0_ends,"4,8",0,1,60,6,119,124
e0ends_sf4_sl9,entry0_ends,"4,9",0,1,59,5,120,124
e0ends_sf4_sl10,entry0_ends,"4,10",1,1,58,4,121,124
e0ends_sf5_sl1,entry0_ends,"5,1",0,1,66,13,112,124
e0ends_sf5_sl2,entry0_ends,"5,2",0,1,65,12,113,124
e0ends_sf5_sl3,entry0_ends,"5,3",0,1,64,11,114,124
e0ends_sf5_sl4,entry0_ends,"5,4",0,1,63,10,115,124
e0ends_sf5_sl5,entry0_ends,"5,5",0,1,62,9,116,124
e0ends_sf5_sl6,entry0_ends,"5,6",0,1,61,8,117,124
e0ends_sf5_sl7,entry0_ends,"5,7",0,1,60,7,118,124
e0ends_sf5_sl8,entry0_ends,"5,8",0,1,59,6,119,124
e0ends_sf5_sl9,entry0_ends,"5,9",0,1,58,5,120,124
e0ends_sf5_sl10,entry0_ends,"5,10",1,1,57,4,121,124
e0ends_sf6_sl1,entry0_ends,"6,1",0,1,65,13,112,124
