mode,cyc,A_N,B,D,Q,and4_X
all0,0,0,0,0,0,0
all0,1,0,0,0,0,0
all0,2,0,0,0,0,0
all0,3,0,0,0,0,0
all0,4,0,0,0,0,0
all0,5,0,0,0,0,0
all0,6,0,0,0,0,0
all0,7,0,0,0,0,0
all0,8,0,0,0,0,0
all0,9,0,0,0,0,0
all0,10,0,0,0,0,0
all0,11,0,0,0,0,0
all0,12,0,0,0,0,0
all0,13,0,0,0,0,0
all0,14,0,0,0,0,0
all0,15,0,0,0,0,0
all0,16,0,0,0,0,0
all0,17,0,0,0,0,0
all0,18,0,0,0,0,0
all0,19,0,0,0,0,0
all0,20,0,0,0,0,0
all0,21,0,0,0,0,0
all0,22,0,0,0,0,0
all0,23,0,0,0,0,0
all0,24,0,0,0,0,0
all0,25,0,0,0,0,0
all0,26,0,0,0,0,0
all0,27,0,0,0,0,0
all0,28,0,0,0,0,0
all0,29,0,0,0,0,0
all0,30,0,0,0,0,0
all0,31,0,0,0,0,0
all0,32,0,0,0,0,0
all0,33,0,0,0,0,0
all0,34,0,0,0,0,0
all0,35,0,0,0,0,0
all0,36,0,0,0,0,0
all0,37,0,0,0,0,0
all0,38,0,0,0,0,0
all0,39,0,0,0,0,0
all0,40,0,0,0,0,0
all0,41,0,0,0,0,0
all0,42,0,0,0,0,0
all0,43,0,0,0,0,0
all0,44,0,0,0,0,0
all0,45,0,0,0,0,0
all0,46,0,0,0,0,0
all0,47,0,0,0,0,0
all0,48,0,0,0,0,0
all0,49,0,0,0,0,0
all0,50,0,0,0,0,0
all0,51,0,0,0,0,0
all0,52,0,0,0,0,0
all0,53,0,0,0,0,0
all0,54,0,0,0,0,0
all0,55,0,0,0,0,0
all0,56,0,0,0,0,0
all0,57,0,0,0,0,0
all0,58,0,0,0,0,0
all0,59,0,0,0,0,0
all0,60,0,0,0,0,0
all0,61,0,0,0,0,0
all0,62,0,0,0,0,0
all0,63,0,0,0,0,0
all0,64,0,0,0,0,0
all0,65,0,0,0,0,0
all0,66,0,0,0,0,0
all0,67,0,0,0,0,0
all0,68,0,0,0,0,0
all0,69,0,0,0,0,0
all0,70,0,0,0,0,0
all0,71,0,0,0,0,0
all0,72,0,0,0,0,0
all0,73,0,0,0,0,0
all0,74,0,0,0,0,0
all0,75,0,0,0,0,0
all0,76,0,0,0,0,0
all0,77,0,0,0,0,0
all0,78,0,0,0,0,0
all0,79,0,0,0,0,0
all0,80,0,0,0,0,0
all0,81,0,0,0,0,0
all0,82,0,0,0,0,0
all0,83,0,0,0,0,0
all0,84,0,0,0,0,0
all0,85,0,0,0,0,0
all0,86,0,0,0,0,0
all0,87,0,0,0,0,0
all0,88,0,0,0,0,0
all0,89,0,0,0,0,0
all0,90,0,0,0,0,0
all0,91,0,0,0,0,0
all0,92,0,0,0,0,0
all0,93,0,0,0,0,0
all0,94,0,0,0,0,0
all0,95,0,0,0,0,0
all0,96,0,0,0,0,0
all0,97,0,0,0,0,0
all0,98,0,0,0,0,0
all0,99,0,0,0,0,0
all0,100,0,0,0,0,0
all0,101,0,0,0,0,0
all0,102,0,0,0,0,0
all0,103,0,0,0,0,0
all0,104,0,0,0,0,0
all0,105,0,0,0,0,0
all0,106,0,0,0,0,0
all0,107,0,0,0,0,0
all0,108,0,0,0,0,0
all0,109,0,0,0,0,0
all0,110,0,0,0,0,0
all0,111,0,0,0,0,0
all0,112,0,0,0,0,0
all0,113,0,0,0,0,0
all0,114,0,0,0,0,0
all0,115,0,0,0,0,0
all0,116,0,0,0,0,0
all0,117,0,0,0,0,0
all0,118,0,0,0,0,0
all0,119,0,0,0,0,0
all0,120,0,0,0,0,0
"I2_d01_@75,76",0,0,0,0,0,0
"I2_d01_@75,76",1,0,0,0,0,0
"I2_d01_@75,76",2,0,0,0,0,0
"I2_d01_@75,76",3,0,0,0,0,0
"I2_d01_@75,76",4,0,0,0,0,0
"I2_d01_@75,76",5,0,0,0,0,0
"I2_d01_@75,76",6,0,0,0,0,0
"I2_d01_@75,76",7,0,0,0,0,0
"I2_d01_@75,76",8,0,0,0,0,0
"I2_d01_@75,76",9,0,0,0,0,0
"I2_d01_@75,76",10,0,0,0,0,0
"I2_d01_@75,76",11,0,0,0,0,0
"I2_d01_@75,76",12,0,0,0,0,0
"I2_d01_@75,76",13,0,0,0,0,0
"I2_d01_@75,76",14,0,0,0,0,0
"I2_d01_@75,76",15,0,0,0,0,0
"I2_d01_@75,76",16,0,0,0,0,0
"I2_d01_@75,76",17,0,0,0,0,0
"I2_d01_@75,76",18,0,0,0,0,0
"I2_d01_@75,76",19,0,0,0,0,0
"I2_d01_@75,76",20,0,0,0,0,0
"I2_d01_@75,76",21,0,0,0,0,0
"I2_d01_@75,76",22,0,0,0,0,0
"I2_d01_@75,76",23,0,0,0,0,0
"I2_d01_@75,76",24,0,0,0,0,0
"I2_d01_@75,76",25,0,0,0,0,0
"I2_d01_@75,76",26,0,0,0,0,0
"I2_d01_@75,76",27,0,0,0,0,0
"I2_d01_@75,76",28,0,0,0,0,0
"I2_d01_@75,76",29,0,0,0,0,0
"I2_d01_@75,76",30,0,0,0,0,0
"I2_d01_@75,76",31,0,0,0,0,0
"I2_d01_@75,76",32,0,0,0,0,0
"I2_d01_@75,76",33,0,0,0,0,0
"I2_d01_@75,76",34,0,0,0,0,0
"I2_d01_@75,76",35,0,0,0,0,0
"I2_d01_@75,76",36,0,0,0,0,0
"I2_d01_@75,76",37,0,0,0,0,0
"I2_d01_@75,76",38,0,0,0,0,0
"I2_d01_@75,76",39,0,0,0,0,0
"I2_d01_@75,76",40,0,0,0,0,0
"I2_d01_@75,76",41,0,0,0,0,0
"I2_d01_@75,76",42,0,0,0,0,0
"I2_d01_@75,76",43,0,0,0,0,0
"I2_d01_@75,76",44,0,0,0,0,0
"I2_d01_@75,76",45,0,0,0,0,0
"I2_d01_@75,76",46,0,0,0,0,0
"I2_d01_@75,76",47,0,0,0,0,0
"I2_d01_@75,76",48,0,0,0,0,0
"I2_d01_@75,76",49,0,0,0,0,0
"I2_d01_@75,76",50,0,0,0,0,0
"I2_d01_@75,76",51,0,0,0,0,0
"I2_d01_@75,76",52,0,0,0,0,0
"I2_d01_@75,76",53,0,0,0,0,0
"I2_d01_@75,76",54,0,0,0,0,0
"I2_d01_@75,76",55,0,0,0,0,0
"I2_d01_@75,76",56,0,0,0,0,0
"I2_d01_@75,76",57,0,0,0,0,0
"I2_d01_@75,76",58,0,0,0,0,0
"I2_d01_@75,76",59,0,0,0,0,0
"I2_d01_@75,76",60,0,0,0,0,0
"I2_d01_@75,76",61,0,0,0,0,0
"I2_d01_@75,76",62,0,0,0,0,0
"I2_d01_@75,76",63,0,0,0,0,0
"I2_d01_@75,76",64,0,0,0,0,0
"I2_d01_@75,76",65,0,0,0,0,0
"I2_d01_@75,76",66,0,0,0,0,0
"I2_d01_@75,76",67,0,0,0,0,0
"I2_d01_@75,76",68,0,0,0,0,0
"I2_d01_@75,76",69,0,0,0,0,0
"I2_d01_@75,76",70,0,0,0,0,0
"I2_d01_@75,76",71,0,0,0,0,0
"I2_d01_@75,76",72,0,0,0,0,0
"I2_d01_@75,76",73,0,0,0,0,0
"I2_d01_@75,76",74,0,0,0,0,0
"I2_d01_@75,76",75,0,0,0,0,0
"I2_d01_@75,76",76,0,0,0,0,0
"I2_d01_@75,76",77,0,0,0,0,0
"I2_d01_@75,76",78,0,0,0,0,0
"I2_d01_@75,76",79,0,0,0,0,0
"I2_d01_@75,76",80,0,0,0,0,0
"I2_d01_@75,76",81,0,0,0,0,0
"I2_d01_@75,76",82,0,0,0,0,0
"I2_d01_@75,76",83,0,0,0,0,0
"I2_d01_@75,76",84,0,0,0,0,0
"I2_d01_@75,76",85,0,0,0,0,0
"I2_d01_@75,76",86,0,0,0,0,0
"I2_d01_@75,76",87,0,0,0,0,0
"I2_d01_@75,76",88,0,0,0,0,0
"I2_d01_@75,76",89,0,0,0,0,0
"I2_d01_@75,76",90,0,0,0,0,0
"I2_d01_@75,76",91,0,0,0,0,0
"I2_d01_@75,76",92,0,0,0,0,0
"I2_d01_@75,76",93,0,0,0,0,0
"I2_d01_@75,76",94,0,0,0,0,0
"I2_d01_@75,76",95,0,0,0,0,0
"I2_d01_@75,76",96,0,0,0,0,0
"I2_d01_@75,76",97,0,0,0,0,0
"I2_d01_@75,76",98,0,0,0,0,0
"I2_d01_@75,76",99,0,0,0,0,0
"I2_d01_@75,76",100,0,0,0,0,0
"I2_d01_@75,76",101,0,0,0,0,0
"I2_d01_@75,76",102,0,0,0,0,0
"I2_d01_@75,76",103,0,0,0,0,0
"I2_d01_@75,76",104,0,0,0,0,0
"I2_d01_@75,76",105,0,0,0,0,0
"I2_d01_@75,76",106,0,0,0,0,0
"I2_d01_@75,76",107,0,0,0,0,0
"I2_d01_@75,76",108,0,0,0,0,0
"I2_d01_@75,76",109,0,0,0,0,0
"I2_d01_@75,76",110,0,0,0,0,0
"I2_d01_@75,76",111,0,0,0,0,0
"I2_d01_@75,76",112,0,0,0,0,0
"I2_d01_@75,76",113,0,0,0,0,0
"I2_d01_@75,76",114,0,0,0,0,0
"I2_d01_@75,76",115,0,0,0,0,0
"I2_d01_@75,76",116,0,0,0,0,0
"I2_d01_@75,76",117,0,0,0,0,0
"I2_d01_@75,76",118,0,0,0,0,0
"I2_d01_@75,76",119,0,0,0,0,0
"I2_d01_@75,76",120,0,0,0,0,0
"I2_d02_@75,77",0,0,0,0,0,0
