mode,cyc,and4_A,and4_B,and4_C,and4_D,and4_X
all0,0,0,0,0,1,0
all0,1,0,0,0,1,0
all0,2,0,0,0,1,0
all0,3,0,0,0,1,0
all0,4,0,0,0,1,0
all0,5,0,0,0,1,0
all0,6,0,0,0,1,0
all0,7,0,0,0,1,0
all0,8,0,0,0,1,0
all0,9,0,0,0,1,0
all0,10,0,0,0,1,0
all0,11,0,0,0,1,0
all0,12,0,0,0,1,0
all0,13,0,0,0,1,0
all0,14,0,0,0,1,0
all0,15,0,0,0,1,0
all0,16,0,0,0,1,0
all0,17,0,0,0,1,0
all0,18,0,0,0,1,0
all0,19,0,0,0,1,0
all0,20,0,0,0,1,0
all0,21,0,0,0,1,0
all0,22,0,0,0,1,0
all0,23,0,0,0,1,0
all0,24,0,0,0,1,0
all0,25,0,0,0,1,0
all0,26,0,0,0,1,0
all0,27,0,0,0,1,0
all0,28,0,0,0,1,0
all0,29,0,0,0,1,0
all0,30,0,0,0,1,0
all0,31,0,0,0,1,0
all0,32,0,0,0,1,0
all0,33,0,0,0,1,0
all0,34,0,0,0,1,0
all0,35,0,0,0,1,0
all0,36,0,0,0,1,0
all0,37,0,0,0,1,0
all0,38,0,0,0,1,0
all0,39,0,0,0,1,0
all0,40,0,0,0,1,0
all0,41,0,0,0,1,0
all0,42,0,0,0,1,0
all0,43,0,0,0,1,0
all0,44,0,0,0,1,0
all0,45,0,0,0,1,0
all0,46,0,0,0,1,0
all0,47,0,0,0,1,0
all0,48,0,0,0,1,0
all0,49,0,0,0,1,0
all0,50,0,0,0,1,0
all0,51,0,0,0,1,0
all0,52,0,0,0,1,0
all0,53,0,0,0,1,0
all0,54,0,0,0,1,0
all0,55,0,0,0,1,0
all0,56,0,0,0,1,0
all0,57,0,0,0,1,0
all0,58,0,0,0,1,0
all0,59,0,0,0,1,0
all0,60,0,0,0,1,0
all0,61,0,0,0,1,0
all0,62,0,0,0,1,0
all0,63,0,0,0,1,0
all0,64,0,0,0,1,0
all0,65,0,0,0,1,0
all0,66,0,0,0,1,0
all0,67,0,0,0,1,0
all0,68,0,0,0,1,0
all0,69,0,0,0,1,0
all0,70,0,0,0,1,0
all0,71,0,0,0,1,0
all0,72,0,0,0,1,0
all0,73,0,0,0,1,0
all0,74,0,0,0,1,0
all0,75,0,0,0,1,0
all0,76,0,0,0,1,0
all0,77,0,0,0,1,0
all0,78,0,0,0,1,0
all0,79,0,0,0,1,0
all0,80,0,0,0,1,0
all0,81,0,0,0,1,0
all0,82,0,0,0,1,0
all0,83,0,0,0,1,0
all0,84,0,0,0,1,0
all0,85,0,0,0,1,0
all0,86,0,0,0,1,0
all0,87,0,0,0,1,0
all0,88,0,0,0,1,0
all0,89,0,0,0,1,0
all0,90,0,0,0,1,0
all0,91,0,0,0,1,0
all0,92,0,0,0,1,0
all0,93,0,0,0,1,0
all0,94,0,0,0,1,0
all0,95,0,0,0,1,0
all0,96,0,0,0,1,0
all0,97,0,0,0,1,0
all0,98,0,0,0,1,0
all0,99,0,0,0,1,0
all0,100,0,0,0,1,0
all0,101,0,0,0,1,0
all0,102,0,0,0,1,0
all0,103,0,0,0,1,0
all0,104,0,0,0,1,0
all0,105,0,0,0,1,0
all0,106,0,0,0,1,0
all0,107,0,0,0,1,0
all0,108,0,0,0,1,0
all0,109,0,0,0,1,0
all0,110,0,0,0,1,0
all0,111,0,0,0,1,0
all0,112,0,0,0,1,0
all0,113,0,0,0,1,0
all0,114,0,0,0,1,0
all0,115,0,0,0,1,0
all0,116,0,0,0,1,0
all0,117,0,0,0,1,0
all0,118,0,0,0,1,0
all0,119,0,0,0,1,0
all0,120,0,0,0,1,0
one_at_1,0,0,0,0,1,0
one_at_1,1,0,0,0,1,0
one_at_1,2,0,0,0,1,0
one_at_1,3,0,0,0,1,0
one_at_1,4,0,0,0,1,0
one_at_1,5,0,0,0,1,0
one_at_1,6,0,0,0,1,0
one_at_1,7,0,0,0,1,0
one_at_1,8,0,0,0,1,0
one_at_1,9,0,0,0,1,0
one_at_1,10,0,0,0,1,0
one_at_1,11,0,0,0,1,0
one_at_1,12,0,0,0,1,0
one_at_1,13,0,0,0,1,0
one_at_1,14,0,0,0,1,0
one_at_1,15,0,0,0,1,0
one_at_1,16,0,0,0,1,0
one_at_1,17,0,0,0,1,0
one_at_1,18,0,0,0,1,0
one_at_1,19,0,0,0,1,0
one_at_1,20,0,0,0,1,0
one_at_1,21,0,0,0,1,0
one_at_1,22,0,0,0,1,0
one_at_1,23,0,0,0,1,0
one_at_1,24,0,0,0,1,0
one_at_1,25,0,0,0,1,0
one_at_1,26,0,0,0,1,0
one_at_1,27,0,0,0,1,0
one_at_1,28,0,0,0,1,0
one_at_1,29,0,0,0,1,0
one_at_1,30,0,0,0,1,0
one_at_1,31,0,0,0,1,0
one_at_1,32,0,0,0,1,0
one_at_1,33,0,0,0,1,0
one_at_1,34,0,0,0,1,0
one_at_1,35,0,0,0,1,0
one_at_1,36,0,0,0,1,0
one_at_1,37,0,0,0,1,0
one_at_1,38,0,0,0,1,0
one_at_1,39,0,0,0,1,0
one_at_1,40,0,0,0,1,0
one_at_1,41,0,0,0,1,0
one_at_1,42,0,0,0,1,0
one_at_1,43,0,0,0,1,0
one_at_1,44,0,0,0,1,0
one_at_1,45,0,0,0,1,0
one_at_1,46,0,0,0,1,0
one_at_1,47,0,0,0,1,0
one_at_1,48,0,0,0,1,0
one_at_1,49,0,0,0,1,0
one_at_1,50,0,0,0,1,0
one_at_1,51,0,0,0,1,0
one_at_1,52,0,0,0,1,0
one_at_1,53,0,0,0,1,0
one_at_1,54,0,0,0,1,0
one_at_1,55,0,0,0,1,0
one_at_1,56,0,0,0,1,0
one_at_1,57,0,0,0,1,0
one_at_1,58,0,0,0,1,0
one_at_1,59,0,0,0,1,0
one_at_1,60,0,0,0,1,0
one_at_1,61,0,0,0,1,0
one_at_1,62,0,0,0,1,0
one_at_1,63,0,0,0,1,0
one_at_1,64,0,0,0,1,0
one_at_1,65,0,0,0,1,0
one_at_1,66,0,0,0,1,0
one_at_1,67,0,0,0,1,0
one_at_1,68,0,0,0,1,0
one_at_1,69,0,0,0,1,0
one_at_1,70,0,0,0,1,0
one_at_1,71,0,0,0,1,0
one_at_1,72,0,0,0,1,0
one_at_1,73,0,0,0,1,0
one_at_1,74,0,0,0,1,0
one_at_1,75,0,0,0,1,0
one_at_1,76,0,0,0,1,0
one_at_1,77,0,0,0,1,0
one_at_1,78,0,0,0,1,0
one_at_1,79,0,0,0,1,0
one_at_1,80,0,0,0,1,0
one_at_1,81,0,0,0,1,0
one_at_1,82,0,0,0,1,0
one_at_1,83,0,0,0,1,0
one_at_1,84,0,0,0,1,0
one_at_1,85,0,0,0,1,0
one_at_1,86,0,0,0,1,0
one_at_1,87,0,0,0,1,0
one_at_1,88,0,0,0,1,0
one_at_1,89,0,0,0,1,0
one_at_1,90,0,0,0,1,0
one_at_1,91,0,0,0,1,0
one_at_1,92,0,0,0,1,0
one_at_1,93,0,0,0,1,0
one_at_1,94,0,0,0,1,0
one_at_1,95,0,0,0,1,0
one_at_1,96,0,0,0,1,0
one_at_1,97,0,0,0,1,0
one_at_1,98,0,0,0,1,0
one_at_1,99,0,0,0,1,0
one_at_1,100,0,0,0,1,0
one_at_1,101,0,0,0,1,0
one_at_1,102,0,0,0,1,0
one_at_1,103,0,0,0,1,0
one_at_1,104,0,0,0,1,0
one_at_1,105,0,0,0,1,0
one_at_1,106,0,0,0,1,0
one_at_1,107,0,0,0,1,0
one_at_1,108,0,0,0,1,0
one_at_1,109,0,0,0,1,0
one_at_1,110,0,0,0,1,0
one_at_1,111,0,0,0,1,0
one_at_1,112,0,0,0,1,0
one_at_1,113,0,0,0,1,0
one_at_1,114,0,0,0,1,0
one_at_1,115,0,0,0,1,0
one_at_1,116,0,0,0,1,0
one_at_1,117,0,0,0,1,0
one_at_1,118,0,0,0,1,0
one_at_1,119,0,0,0,1,0
one_at_1,120,0,0,0,0,0
one_at_10,0,0,0,0,1,0
one_at_10,1,0,0,0,1,0
one_at_10,2,0,0,0,1,0
one_at_10,3,0,0,0,1,0
one_at_10,4,0,0,0,1,0
one_at_10,5,0,0,0,1,0
one_at_10,6,0,0,0,1,0
one_at_10,7,0,0,0,1,0
one_at_10,8,0,0,0,1,0
one_at_10,9,0,0,0,1,0
one_at_10,10,0,0,0,1,0
one_at_10,11,0,0,0,1,0
one_at_10,12,0,0,0,1,0
one_at_10,13,0,0,0,1,0
one_at_10,14,0,0,0,1,0
one_at_10,15,0,0,0,1,0
one_at_10,16,0,0,0,1,0
one_at_10,17,0,0,0,1,0
one_at_10,18,0,0,0,1,0
one_at_10,19,0,0,0,1,0
one_at_10,20,0,0,0,1,0
one_at_10,21,0,0,0,1,0
one_at_10,22,0,0,0,1,0
one_at_10,23,0,0,0,1,0
one_at_10,24,0,0,0,1,0
one_at_10,25,0,0,0,1,0
one_at_10,26,0,0,0,1,0
one_at_10,27,0,0,0,1,0
one_at_10,28,0,0,0,1,0
one_at_10,29,0,0,0,1,0
one_at_10,30,0,0,0,1,0
one_at_10,31,0,0,0,1,0
one_at_10,32,0,0,0,1,0
one_at_10,33,0,0,0,1,0
one_at_10,34,0,0,0,1,0
one_at_10,35,0,0,0,1,0
one_at_10,36,0,0,0,1,0
one_at_10,37,0,0,0,1,0
one_at_10,38,0,0,0,1,0
one_at_10,39,0,0,0,1,0
one_at_10,40,0,0,0,1,0
one_at_10,41,0,0,0,1,0
one_at_10,42,0,0,0,1,0
one_at_10,43,0,0,0,1,0
one_at_10,44,0,0,0,1,0
one_at_10,45,0,0,0,1,0
one_at_10,46,0,0,0,1,0
one_at_10,47,0,0,0,1,0
one_at_10,48,0,0,0,1,0
one_at_10,49,0,0,0,1,0
one_at_10,50,0,0,0,1,0
one_at_10,51,0,0,0,1,0
one_at_10,52,0,0,0,1,0
one_at_10,53,0,0,0,1,0
one_at_10,54,0,0,0,1,0
one_at_10,55,0,0,0,1,0
one_at_10,56,0,0,0,1,0
one_at_10,57,0,0,0,1,0
one_at_10,58,0,0,0,1,0
one_at_10,59,0,0,0,1,0
one_at_10,60,0,0,0,1,0
one_at_10,61,0,0,0,1,0
one_at_10,62,0,0,0,1,0
one_at_10,63,0,0,0,1,0
one_at_10,64,0,0,0,1,0
one_at_10,65,0,0,0,1,0
one_at_10,66,0,0,0,1,0
one_at_10,67,0,0,0,1,0
one_at_10,68,0,0,0,1,0
one_at_10,69,0,0,0,1,0
one_at_10,70,0,0,0,1,0
one_at_10,71,0,0,0,1,0
one_at_10,72,0,0,0,1,0
one_at_10,73,0,0,0,1,0
one_at_10,74,0,0,0,1,0
one_at_10,75,0,0,0,1,0
one_at_10,76,0,0,0,1,0
one_at_10,77,0,0,0,1,0
one_at_10,78,0,0,0,1,0
one_at_10,79,0,0,0,1,0
one_at_10,80,0,0,0,1,0
one_at_10,81,0,0,0,1,0
one_at_10,82,0,0,0,1,0
one_at_10,83,0,0,0,1,0
one_at_10,84,0,0,0,1,0
one_at_10,85,0,0,0,1,0
one_at_10,86,0,0,0,1,0
one_at_10,87,0,0,0,1,0
one_at_10,88,0,0,0,1,0
one_at_10,89,0,0,0,1,0
one_at_10,90,0,0,0,1,0
one_at_10,91,0,0,0,1,0
one_at_10,92,0,0,0,1,0
one_at_10,93,0,0,0,1,0
one_at_10,94,0,0,0,1,0
one_at_10,95,0,0,0,1,0
one_at_10,96,0,0,0,1,0
one_at_10,97,0,0,0,1,0
one_at_10,98,0,0,0,1,0
one_at_10,99,0,0,0,1,0
one_at_10,100,0,0,0,1,0
one_at_10,101,0,0,0,1,0
one_at_10,102,0,0,0,1,0
one_at_10,103,0,0,0,1,0
one_at_10,104,0,0,0,1,0
one_at_10,105,0,0,0,1,0
one_at_10,106,0,0,0,1,0
one_at_10,107,0,0,0,1,0
one_at_10,108,0,0,0,1,0
one_at_10,109,0,0,0,1,0
one_at_10,110,0,0,0,1,0
one_at_10,111,0,0,0,0,0
one_at_10,112,0,0,0,0,0
one_at_10,113,0,0,0,0,0
one_at_10,114,0,0,0,0,0
one_at_10,115,0,0,0,0,0
one_at_10,116,0,0,0,0,0
one_at_10,117,0,0,0,0,0
one_at_10,118,0,0,0,0,0
one_at_10,119,0,0,0,0,0
