mode,cyc,S,A0,A1,X,a31o_X,sticky_Q,inv_Y
all0,0,0,1,0,1,0,0,1
all0,1,0,1,0,1,0,0,1
all0,2,0,1,0,1,0,0,1
all0,3,0,1,0,1,0,0,1
all0,4,0,1,0,1,0,0,1
all0,5,0,1,0,1,0,0,1
all0,6,0,1,0,1,0,0,1
all0,7,0,1,0,1,0,0,1
all0,8,0,1,0,1,0,0,1
all0,9,0,1,0,1,0,0,1
all0,10,0,1,0,1,1,0,1
all0,11,0,1,0,1,1,1,0
all0,12,0,1,0,1,1,1,0
all0,13,0,1,0,1,1,1,0
all0,14,0,1,0,1,1,1,0
all0,15,0,1,0,1,1,1,0
all0,16,0,1,0,1,1,1,0
all0,17,0,1,0,1,1,1,0
all0,18,0,1,0,1,1,1,0
all0,19,0,1,0,1,1,1,0
all0,20,0,1,0,1,1,1,0
all0,21,0,1,0,1,1,1,0
all0,22,0,1,0,1,1,1,0
all0,23,0,1,0,1,1,1,0
all0,24,0,1,0,1,1,1,0
all0,25,0,1,0,1,1,1,0
all0,26,0,1,0,1,1,1,0
all0,27,0,1,0,1,1,1,0
all0,28,0,1,0,1,1,1,0
all0,29,0,1,0,1,1,1,0
all0,30,0,1,0,1,1,1,0
all0,31,0,1,0,1,1,1,0
all0,32,0,1,0,1,1,1,0
all0,33,0,1,0,1,1,1,0
all0,34,0,1,0,1,1,1,0
all0,35,0,1,0,1,1,1,0
all0,36,0,1,0,1,1,1,0
all0,37,0,1,0,1,1,1,0
all0,38,0,1,0,1,1,1,0
all0,39,0,1,0,1,1,1,0
all0,40,0,1,0,1,1,1,0
all0,41,0,1,0,1,1,1,0
all0,42,0,1,0,1,1,1,0
all0,43,0,1,0,1,1,1,0
all0,44,0,1,0,1,1,1,0
all0,45,0,1,0,1,1,1,0
all0,46,0,1,0,1,1,1,0
all0,47,0,1,0,1,1,1,0
all0,48,0,1,0,1,1,1,0
all0,49,0,1,0,1,1,1,0
all0,50,0,1,0,1,1,1,0
all0,51,0,1,0,1,1,1,0
all0,52,0,1,0,1,1,1,0
all0,53,0,1,0,1,1,1,0
all0,54,0,1,0,1,1,1,0
all0,55,0,1,0,1,1,1,0
all0,56,0,1,0,1,1,1,0
all0,57,0,1,0,1,1,1,0
all0,58,0,1,0,1,1,1,0
all0,59,0,1,0,1,1,1,0
all0,60,0,1,0,1,1,1,0
all0,61,0,1,0,1,1,1,0
all0,62,0,1,0,1,1,1,0
all0,63,0,1,0,1,1,1,0
all0,64,0,1,0,1,1,1,0
all0,65,0,1,0,1,1,1,0
all0,66,0,1,0,1,1,1,0
all0,67,0,1,0,1,1,1,0
all0,68,0,1,0,1,1,1,0
all0,69,0,1,0,1,1,1,0
all0,70,0,1,0,1,1,1,0
all0,71,0,1,0,1,1,1,0
all0,72,0,1,0,1,1,1,0
all0,73,0,1,0,1,1,1,0
all0,74,0,1,0,1,1,1,0
all0,75,0,1,0,1,1,1,0
all0,76,0,1,0,1,1,1,0
all0,77,0,1,0,1,1,1,0
all0,78,0,1,0,1,1,1,0
all0,79,0,1,0,1,1,1,0
all0,80,0,1,0,1,1,1,0
all0,81,0,1,0,1,1,1,0
all0,82,0,1,0,1,1,1,0
all0,83,0,1,0,1,1,1,0
all0,84,0,1,0,1,1,1,0
all0,85,0,1,0,1,1,1,0
all0,86,0,1,0,1,1,1,0
all0,87,0,1,0,1,1,1,0
all0,88,0,1,0,1,1,1,0
all0,89,0,1,0,1,1,1,0
all0,90,0,1,0,1,1,1,0
all0,91,0,1,0,1,1,1,0
all0,92,0,1,0,1,1,1,0
all0,93,0,1,0,1,1,1,0
all0,94,0,1,0,1,1,1,0
all0,95,0,1,0,1,1,1,0
all0,96,0,1,0,1,1,1,0
all0,97,0,1,0,1,1,1,0
all0,98,0,1,0,1,1,1,0
all0,99,0,1,0,1,1,1,0
all0,100,0,1,0,1,1,1,0
all0,101,0,1,0,1,1,1,0
all0,102,0,1,0,1,1,1,0
all0,103,0,1,0,1,1,1,0
all0,104,0,1,0,1,1,1,0
all0,105,0,1,0,1,1,1,0
all0,106,0,1,0,1,1,1,0
all0,107,0,1,0,1,1,1,0
all0,108,0,1,0,1,1,1,0
all0,109,0,1,0,1,1,1,0
all0,110,0,1,0,1,1,1,0
all0,111,0,1,0,1,1,1,0
all0,112,0,1,0,1,1,1,0
all0,113,0,1,0,1,1,1,0
all0,114,0,1,0,1,1,1,0
all0,115,0,1,0,1,1,1,0
all0,116,0,1,0,1,1,1,0
all0,117,0,1,0,1,1,1,0
all0,118,0,1,0,1,1,1,0
all0,119,0,1,0,1,1,1,0
all0,120,0,1,0,1,1,1,0
I2win_d01_off0,0,0,1,1,1,0,0,1
I2win_d01_off0,1,0,0,1,0,0,0,1
I2win_d01_off0,2,1,1,0,0,0,0,1
I2win_d01_off0,3,1,1,0,0,0,0,1
I2win_d01_off0,4,1,1,0,0,0,0,1
I2win_d01_off0,5,1,1,0,0,0,0,1
I2win_d01_off0,6,1,1,0,0,0,0,1
I2win_d01_off0,7,1,1,0,0,0,0,1
I2win_d01_off0,8,1,1,0,0,0,0,1
I2win_d01_off0,9,1,1,0,0,0,0,1
I2win_d01_off0,10,1,1,0,0,0,0,1
I2win_d01_off0,11,0,1,1,1,0,0,1
I2win_d01_off0,12,0,0,1,0,0,0,1
I2win_d01_off0,13,1,1,0,0,0,0,1
I2win_d01_off0,14,1,1,0,0,0,0,1
I2win_d01_off0,15,1,1,0,0,0,0,1
I2win_d01_off0,16,1,1,0,0,0,0,1
I2win_d01_off0,17,1,1,0,0,0,0,1
I2win_d01_off0,18,1,1,0,0,0,0,1
I2win_d01_off0,19,1,1,0,0,0,0,1
I2win_d01_off0,20,1,1,0,0,0,0,1
I2win_d01_off0,21,1,1,0,0,0,0,1
I2win_d01_off0,22,0,1,1,1,0,0,1
I2win_d01_off0,23,0,0,1,0,0,0,1
I2win_d01_off0,24,1,1,0,0,0,0,1
I2win_d01_off0,25,1,1,0,0,0,0,1
I2win_d01_off0,26,1,1,0,0,0,0,1
I2win_d01_off0,27,1,1,0,0,0,0,1
I2win_d01_off0,28,1,1,0,0,0,0,1
I2win_d01_off0,29,1,1,0,0,0,0,1
I2win_d01_off0,30,1,1,0,0,0,0,1
I2win_d01_off0,31,1,1,0,0,0,0,1
I2win_d01_off0,32,1,1,0,0,0,0,1
I2win_d01_off0,33,0,1,1,1,0,0,1
I2win_d01_off0,34,0,0,1,0,0,0,1
I2win_d01_off0,35,1,1,0,0,0,0,1
I2win_d01_off0,36,1,1,0,0,0,0,1
I2win_d01_off0,37,1,1,0,0,0,0,1
I2win_d01_off0,38,1,1,0,0,0,0,1
I2win_d01_off0,39,1,1,0,0,0,0,1
I2win_d01_off0,40,1,1,0,0,0,0,1
I2win_d01_off0,41,1,1,0,0,0,0,1
I2win_d01_off0,42,1,1,0,0,0,0,1
I2win_d01_off0,43,1,1,0,0,0,0,1
I2win_d01_off0,44,0,1,1,1,0,0,1
I2win_d01_off0,45,0,0,1,0,0,0,1
I2win_d01_off0,46,1,1,0,0,0,0,1
I2win_d01_off0,47,1,1,0,0,0,0,1
I2win_d01_off0,48,1,1,0,0,0,0,1
I2win_d01_off0,49,1,1,0,0,0,0,1
I2win_d01_off0,50,1,1,0,0,0,0,1
I2win_d01_off0,51,1,1,0,0,0,0,1
I2win_d01_off0,52,1,1,0,0,0,0,1
I2win_d01_off0,53,1,1,0,0,0,0,1
I2win_d01_off0,54,1,1,0,0,0,0,1
I2win_d01_off0,55,0,1,1,1,0,0,1
I2win_d01_off0,56,0,0,1,0,0,0,1
