pattern,A2_ndiff,B2_ndiff,a22o_ndiff,D_A2_ndiff,D_B2_ndiff,A2_first,B2_first,a22o_first
k1_s0,1,1,2,1,1,1,12,1
k1_s1,1,1,2,1,1,2,13,2
k1_s2,1,1,2,1,1,3,14,3
k1_s3,1,1,2,1,1,4,15,4
k1_s4,1,1,2,1,1,5,16,5
k1_s5,1,1,2,1,1,6,17,6
k1_s6,1,1,2,1,1,7,18,7
k1_s7,1,1,2,1,1,8,19,8
k1_s8,1,1,2,1,1,9,20,9
k1_s9,1,1,2,1,1,10,21,10
k1_s10,1,1,0,1,1,11,22,
k2_s0,2,2,4,2,2,1,12,1
k2_s1,2,2,4,2,2,2,13,2
k2_s2,2,2,4,2,2,3,14,3
k2_s3,2,2,4,2,2,4,15,4
k2_s4,2,2,4,2,2,5,16,5
k2_s5,2,2,4,2,2,6,17,6
k2_s6,2,2,4,2,2,7,18,7
k2_s7,2,2,4,2,2,8,19,8
k2_s8,2,2,4,2,2,9,20,9
k2_s9,2,2,2,2,2,10,21,10
k2_s10,2,2,2,2,2,11,22,12
