pattern,A2_ndiff,B2_ndiff,C1_ndiff,a221o_ndiff,A2_first,B2_first,C1_first,a221o_first
k1_s0,1,1,2,3,10,11,1,1
k1_s1,1,1,2,4,11,12,2,2
k1_s2,1,1,2,4,12,13,3,3
k1_s3,1,1,2,4,13,14,4,4
k1_s4,1,1,2,4,14,15,5,5
k1_s5,1,1,2,4,15,16,6,6
k1_s6,1,1,2,4,16,17,7,7
k1_s7,1,1,2,4,17,18,8,8
k1_s8,1,1,2,4,18,19,9,9
k1_s9,1,1,2,4,19,20,10,10
k1_s10,1,1,0,2,20,21,,20
k2_s0,2,2,4,5,10,11,1,1
k2_s1,2,2,4,6,11,12,2,2
k2_s2,2,2,4,6,12,13,3,3
k2_s3,2,2,4,6,13,14,4,4
k2_s4,2,2,4,6,14,15,5,5
k2_s5,2,2,4,6,15,16,6,6
k2_s6,2,2,4,6,16,17,7,7
k2_s7,2,2,4,6,17,18,8,8
k2_s8,2,2,4,6,18,19,9,9
k2_s9,2,2,2,4,19,20,10,10
k2_s10,2,2,2,5,20,21,12,12
