label,mode,cyc,I,enable,ff_AN,ff_B,and2b_Y,or4A,or4B,or4C,or4D,inv7
all0,0,-1,0,0,0,0,0,0,0,0,0,0
all0,0,0,0,1,0,0,0,0,0,0,0,1
all0,0,1,0,1,0,0,0,1,0,0,0,1
all0,0,2,0,1,0,0,0,0,1,0,0,1
all0,0,3,0,1,0,0,0,1,1,0,0,1
all0,0,4,0,1,0,0,0,0,0,1,0,1
all0,0,5,0,1,0,0,0,1,0,1,0,1
all0,0,6,0,1,0,0,0,0,1,1,0,1
all0,0,7,0,1,0,0,0,1,1,1,0,1
all0,0,8,0,1,0,0,0,0,0,0,1,1
all0,0,9,0,1,0,0,0,1,0,0,1,1
all0,0,10,0,1,0,0,0,0,1,0,1,1
all0,0,11,0,1,0,0,0,0,0,0,0,1
all0,0,12,0,1,0,0,0,1,0,0,0,1
all0,0,13,0,1,0,0,0,0,1,0,0,1
all0,0,14,0,1,0,0,0,1,1,0,0,1
all0,0,15,0,1,0,0,0,0,0,1,0,1
all0,0,16,0,1,0,0,0,1,0,1,0,1
all0,0,17,0,1,0,0,0,0,1,1,0,1
all0,0,18,0,1,0,0,0,1,1,1,0,1
all0,0,19,0,1,0,0,0,0,0,0,1,1
all0,0,20,0,1,0,0,0,1,0,0,1,1
all0,0,21,0,1,0,0,0,0,1,0,1,1
all0,0,22,0,1,0,0,0,0,0,0,0,1
all0,0,23,0,1,0,0,0,1,0,0,0,1
all0,0,24,0,1,0,0,0,0,1,0,0,1
all0,0,25,0,1,0,0,0,1,1,0,0,1
all0,0,26,0,1,0,0,0,0,0,1,0,1
all0,0,27,0,1,0,0,0,1,0,1,0,1
all0,0,28,0,1,0,0,0,0,1,1,0,1
all0,0,29,0,1,0,0,0,1,1,1,0,1
all0,0,30,0,1,0,0,0,0,0,0,1,1
all0,0,31,0,1,0,0,0,1,0,0,1,1
all0,0,32,0,1,0,0,0,0,1,0,1,1
all0,0,33,0,1,0,0,0,0,0,0,0,1
all0,0,34,0,1,0,0,0,1,0,0,0,1
all0,0,35,0,1,0,0,0,0,1,0,0,1
all0,0,36,0,1,0,0,0,1,1,0,0,1
all0,0,37,0,1,0,0,0,0,0,1,0,1
all0,0,38,0,1,0,0,0,1,0,1,0,1
all0,0,39,0,1,0,0,0,0,1,1,0,1
cpsat,1,-1,0,0,0,0,0,0,0,0,0,0
cpsat,1,0,0,1,0,0,0,0,0,0,0,1
cpsat,1,1,0,1,0,0,0,1,0,0,0,1
cpsat,1,2,0,1,0,0,0,0,1,0,0,1
cpsat,1,3,0,1,0,0,0,1,1,0,0,1
cpsat,1,4,0,1,0,0,0,0,0,1,0,1
cpsat,1,5,0,1,0,0,0,1,0,1,0,1
cpsat,1,6,0,1,0,0,0,0,1,1,0,1
cpsat,1,7,1,1,0,0,0,1,1,1,0,1
cpsat,1,8,0,1,0,0,0,0,0,0,1,1
cpsat,1,9,1,1,0,0,0,1,0,0,1,1
cpsat,1,10,0,1,0,0,0,0,1,0,1,1
cpsat,1,11,1,1,0,0,0,0,0,0,0,1
cpsat,1,12,0,1,0,0,0,1,0,0,0,1
cpsat,1,13,0,1,0,0,0,0,1,0,0,1
cpsat,1,14,0,1,0,0,0,1,1,0,0,1
cpsat,1,15,0,1,0,0,0,0,0,1,0,1
cpsat,1,16,1,1,0,0,0,1,0,1,0,1
cpsat,1,17,0,1,1,0,0,0,1,1,0,1
cpsat,1,18,0,1,1,0,0,1,1,1,0,1
cpsat,1,19,0,1,1,0,0,0,0,0,1,1
cpsat,1,20,0,1,1,0,0,1,0,0,1,1
cpsat,1,21,0,1,1,0,0,0,1,0,1,1
cpsat,1,22,0,1,1,0,0,0,0,0,0,1
cpsat,1,23,0,1,1,0,0,1,0,0,0,1
cpsat,1,24,0,1,1,0,0,0,1,0,0,1
cpsat,1,25,0,1,1,0,0,1,1,0,0,1
cpsat,1,26,0,1,1,0,0,0,0,1,0,1
cpsat,1,27,0,1,1,0,0,1,0,1,0,1
cpsat,1,28,0,1,1,0,0,0,1,1,0,1
cpsat,1,29,1,1,1,0,0,1,1,1,0,1
cpsat,1,30,0,1,1,0,0,0,0,0,1,1
cpsat,1,31,1,1,1,0,0,1,0,0,1,1
cpsat,1,32,0,1,1,0,0,0,1,0,1,1
cpsat,1,33,1,1,1,0,0,0,0,0,0,1
cpsat,1,34,0,1,1,0,0,1,0,0,0,1
cpsat,1,35,1,1,1,0,0,0,1,0,0,1
cpsat,1,36,0,1,1,0,0,1,1,0,0,1
cpsat,1,37,0,1,1,0,0,0,0,1,0,1
cpsat,1,38,0,1,1,0,0,1,0,1,0,1
cpsat,1,39,0,1,1,0,0,0,1,1,0,1
