group,leaf,instance,gap,step,ones,y_first,y_last,y_high,y_final,A_final,B_final,sticks
3,and3.B,and2_2_10,0,1,"[5, 6, 16]",7,16,10,0,1,0,False
3,and3.B,and2_2_10,1,2,"[5, 16, 26]",17,26,10,0,1,0,False
3,and3.B,and2_2_10,2,3,"[5, 25, 28]",26,28,3,0,1,0,False
3,and3.B,and2_2_10,3,4,"[5, 26, 47]",27,47,21,0,1,0,False
3,and3.B,and2_2_10,4,5,"[5, 27, 66]",28,66,39,0,1,0,False
3,slot.0.A,and2_2_3,0,1,"[37, 38, 39]",39,39,1,0,1,0,False
3,slot.0.A,and2_2_3,1,2,"[37, 39, 59]",40,59,20,0,1,0,False
3,slot.0.A,and2_2_3,2,3,"[37, 48, 61]",49,61,13,0,1,0,False
3,slot.0.A,and2_2_3,3,4,"[37, 59, 81]",60,81,22,0,1,0,False
3,slot.0.A,and2_2_3,4,5,"[37, 60, 83]",61,83,23,0,1,0,False
3,slot.0.D,and2_2_5,0,1,"[63, 64, 65]",65,65,1,0,1,0,False
3,slot.0.D,and2_2_5,1,2,"[63, 65, 85]",66,85,20,0,1,0,False
3,slot.0.D,and2_2_5,2,3,"[63, 74, 107]",75,107,33,0,1,0,False
3,slot.0.D,and2_2_5,3,4,"[63, 85, 109]",86,109,24,0,1,0,False
3,slot.1.B,and2_2_4,0,1,"[8, 9, 19]",10,19,10,0,1,0,False
3,slot.1.B,and2_2_4,1,2,"[8, 19, 31]",20,31,12,0,1,0,False
