group,leaf,instance,gap,c0,c1,delta_cyc,opens_skipped,y_first,y_last,y_high,y_final,A_final,B_final,sticks
3,and3.B,and2_2_10,0,5,6,1,[],7,120,114,1,1,1,True
3,and3.B,and2_2_10,1,5,16,11,[6],17,120,104,1,1,1,True
3,and3.B,and2_2_10,2,5,25,20,"[6, 16]",26,120,95,1,1,1,True
3,and3.B,and2_2_10,3,5,26,21,"[6, 16, 25]",27,120,94,1,1,1,True
3,and3.B,and2_2_10,4,5,27,22,"[6, 16, 25, 26]",28,120,93,1,1,1,True
3,slot.0.A,and2_2_3,0,37,38,1,[],39,120,82,1,1,1,True
3,slot.0.A,and2_2_3,1,37,39,2,[38],40,120,81,1,1,1,True
3,slot.0.A,and2_2_3,2,37,48,11,"[38, 39]",49,120,72,1,1,1,True
3,slot.0.A,and2_2_3,3,37,59,22,"[38, 39, 48]",60,120,61,1,1,1,True
3,slot.0.A,and2_2_3,4,37,60,23,"[38, 39, 48, 59]",61,120,60,1,1,1,True
3,slot.0.D,and2_2_5,0,63,64,1,[],65,120,56,1,1,1,True
3,slot.0.D,and2_2_5,1,63,65,2,[64],66,120,55,1,1,1,True
3,slot.0.D,and2_2_5,2,63,74,11,"[64, 65]",75,120,46,1,1,1,True
3,slot.0.D,and2_2_5,3,63,85,22,"[64, 65, 74]",86,120,35,1,1,1,True
3,slot.0.D,and2_2_5,4,63,96,33,"[64, 65, 74, 85]",97,120,24,1,1,1,True
3,slot.1.B,and2_2_4,0,8,9,1,[],10,120,111,1,1,1,True
3,slot.1.B,and2_2_4,1,8,19,11,[9],20,120,101,1,1,1,True
3,slot.1.B,and2_2_4,2,8,20,12,"[9, 19]",21,120,100,1,1,1,True
3,slot.1.B,and2_2_4,3,8,31,23,"[9, 19, 20]",32,120,89,1,1,1,True
