group,leaf,instance,start,gap,ones,delta_cyc,y_first,y_last,y_high,y_final,A_final,B_final,sticks
3,and3.B,and2_2_10,1,0,"[6, 16]",10,17,120,104,1,1,1,True
3,and3.B,and2_2_10,1,1,"[6, 25]",19,26,120,95,1,1,1,True
3,and3.B,and2_2_10,1,2,"[6, 26]",20,27,120,94,1,1,1,True
3,and3.B,and2_2_10,1,3,"[6, 27]",21,28,120,93,1,1,1,True
3,and3.B,and2_2_10,1,4,"[6, 28]",22,29,120,92,1,1,1,True
3,and3.B,and2_2_10,2,0,"[16, 25]",9,26,120,95,1,1,1,True
3,and3.B,and2_2_10,2,1,"[16, 26]",10,27,120,94,1,1,1,True
3,and3.B,and2_2_10,2,2,"[16, 27]",11,28,120,93,1,1,1,True
3,and3.B,and2_2_10,2,3,"[16, 28]",12,29,120,92,1,1,1,True
3,and3.B,and2_2_10,2,4,"[16, 36]",20,37,120,84,1,1,1,True
3,and3.B,and2_2_10,3,0,"[25, 26]",1,27,120,94,1,1,1,True
3,and3.B,and2_2_10,3,1,"[25, 27]",2,28,120,93,1,1,1,True
3,and3.B,and2_2_10,3,2,"[25, 28]",3,29,120,92,1,1,1,True
3,and3.B,and2_2_10,3,3,"[25, 36]",11,37,120,84,1,1,1,True
3,and3.B,and2_2_10,3,4,"[25, 47]",22,48,120,73,1,1,1,True
3,slot.0.A,and2_2_3,1,0,"[38, 39]",1,40,120,81,1,1,1,True
3,slot.0.A,and2_2_3,1,1,"[38, 48]",10,49,120,72,1,1,1,True
3,slot.0.A,and2_2_3,1,2,"[38, 59]",21,60,120,61,1,1,1,True
3,slot.0.A,and2_2_3,1,3,"[38, 60]",22,61,120,60,1,1,1,True
3,slot.0.A,and2_2_3,1,4,"[38, 61]",23,62,120,59,1,1,1,True
3,slot.0.A,and2_2_3,2,0,"[39, 48]",9,49,120,72,1,1,1,True
3,slot.0.A,and2_2_3,2,1,"[39, 59]",20,60,120,61,1,1,1,True
3,slot.0.A,and2_2_3,2,2,"[39, 60]",21,61,120,60,1,1,1,True
3,slot.0.A,and2_2_3,2,3,"[39, 61]",22,62,120,59,1,1,1,True
3,slot.0.A,and2_2_3,2,4,"[39, 72]",33,73,120,48,1,1,1,True
3,slot.0.A,and2_2_3,3,0,"[48, 59]",11,60,120,61,1,1,1,True
3,slot.0.A,and2_2_3,3,1,"[48, 60]",12,61,120,60,1,1,1,True
3,slot.0.A,and2_2_3,3,2,"[48, 61]",13,62,120,59,1,1,1,True
3,slot.0.A,and2_2_3,3,3,"[48, 72]",24,73,120,48,1,1,1,True
3,slot.0.A,and2_2_3,3,4,"[48, 81]",33,82,120,39,1,1,1,True
3,slot.0.D,and2_2_5,1,0,"[64, 65]",1,66,120,55,1,1,1,True
3,slot.0.D,and2_2_5,1,1,"[64, 74]",10,75,120,46,1,1,1,True
3,slot.0.D,and2_2_5,1,2,"[64, 85]",21,86,120,35,1,1,1,True
3,slot.0.D,and2_2_5,1,3,"[64, 96]",32,97,120,24,1,1,1,True
3,slot.0.D,and2_2_5,1,4,"[64, 107]",43,108,120,13,1,1,1,True
3,slot.0.D,and2_2_5,2,0,"[65, 74]",9,75,120,46,1,1,1,True
3,slot.0.D,and2_2_5,2,1,"[65, 85]",20,86,120,35,1,1,1,True
3,slot.0.D,and2_2_5,2,2,"[65, 96]",31,97,120,24,1,1,1,True
3,slot.0.D,and2_2_5,2,3,"[65, 107]",42,108,120,13,1,1,1,True
3,slot.0.D,and2_2_5,2,4,"[65, 108]",43,109,120,12,1,1,1,True
3,slot.0.D,and2_2_5,3,0,"[74, 85]",11,86,120,35,1,1,1,True
3,slot.0.D,and2_2_5,3,1,"[74, 96]",22,97,120,24,1,1,1,True
3,slot.0.D,and2_2_5,3,2,"[74, 107]",33,108,120,13,1,1,1,True
3,slot.0.D,and2_2_5,3,3,"[74, 108]",34,109,120,12,1,1,1,True
3,slot.0.D,and2_2_5,3,4,"[74, 109]",35,110,120,11,1,1,1,True
3,slot.1.B,and2_2_4,1,0,"[9, 19]",10,20,120,101,1,1,1,True
3,slot.1.B,and2_2_4,1,1,"[9, 20]",11,21,120,100,1,1,1,True
3,slot.1.B,and2_2_4,1,2,"[9, 31]",22,32,120,89,1,1,1,True
3,slot.1.B,and2_2_4,2,0,"[19, 20]",1,21,120,100,1,1,1,True
3,slot.1.B,and2_2_4,2,1,"[19, 31]",12,32,120,89,1,1,1,True
3,slot.1.B,and2_2_4,3,0,"[20, 31]",11,32,120,89,1,1,1,True
