cyc,I,enable,or4,slot.1.A
0,0,1,0000,0
1,0,1,1000,0
2,0,1,0100,0
3,0,1,1100,0
4,0,1,0010,0
5,0,1,1010,0
6,0,1,0110,0
7,0,1,1110,1
8,0,1,0001,0
9,0,1,1001,0
10,0,1,0101,0
11,0,1,0000,0
12,0,1,1000,0
13,0,1,0100,0
14,0,1,1100,0
15,0,1,0010,0
16,0,1,1010,0
17,0,1,0110,1
18,0,1,1110,1
19,0,1,0001,0
20,0,1,1001,0
21,0,1,0101,0
22,0,1,0000,0
23,0,1,1000,0
24,0,1,0100,0
25,0,1,1100,0
26,0,1,0010,0
27,0,1,1010,0
28,0,1,0110,0
29,0,1,1110,1
30,0,1,0001,1
31,0,1,1001,0
32,0,1,0101,0
33,0,1,0000,0
34,0,1,1000,0
35,0,1,0100,0
36,0,1,1100,0
37,0,1,0010,0
38,0,1,1010,0
39,0,1,0110,0
40,0,1,1110,0
41,0,1,0001,1
42,0,1,1001,1
43,0,1,0101,0
44,0,1,0000,0
45,0,1,1000,0
46,0,1,0100,0
47,0,1,1100,0
48,0,1,0010,0
49,0,1,1010,0
50,0,1,0110,0
51,0,1,1110,0
52,0,1,0001,0
53,0,1,1001,0
54,0,1,0101,0
55,0,1,0000,0
56,0,1,1000,0
57,0,1,0100,0
58,0,1,1100,0
59,0,1,0010,0
60,0,1,1010,0
61,0,1,0110,0
62,0,1,1110,0
63,0,1,0001,0
64,0,1,1001,0
65,0,1,0101,0
66,0,1,0000,0
67,0,1,1000,0
68,0,1,0100,0
69,0,1,1100,0
70,0,1,0010,0
71,0,1,1010,0
72,0,1,0110,0
73,0,1,1110,0
74,0,1,0001,0
75,0,1,1001,0
76,0,1,0101,0
77,0,1,0000,0
78,0,1,1000,0
79,0,1,0100,0
80,0,1,1100,0
81,0,1,0010,0
82,0,1,1010,0
83,0,1,0110,0
84,0,1,1110,0
85,0,1,0001,0
86,0,1,1001,0
87,0,1,0101,0
88,0,1,0000,0
89,0,1,1000,0
90,0,1,0100,0
91,0,1,1100,0
92,0,1,0010,0
93,0,1,1010,0
94,0,1,0110,0
95,0,1,1110,0
96,0,1,0001,0
97,0,1,1001,0
98,0,1,0101,0
99,0,1,0000,0
100,0,1,1000,0
101,0,1,0100,0
102,0,1,1100,0
103,0,1,0010,0
104,0,1,1010,0
105,0,1,0110,0
106,0,1,1110,0
107,0,1,0001,0
108,0,1,1001,0
109,0,1,0101,0
110,0,1,0000,0
111,0,1,1000,0
112,0,1,0100,0
113,0,1,1100,0
114,0,1,0010,0
115,0,1,1010,0
116,0,1,0110,0
117,0,1,1110,0
118,0,1,0001,0
119,0,1,1001,0
120,0,1,0101,0
